Sanaston asiasana,Sanasto,Asiasana,Lisätieto,Indexing term,Tunnistenumero
9600,IPTC Scene,kasvokuva,A head only view of a person (or animal/s) or persons as in a montage,headshot,10100
9601,IPTC Scene,puolikuva,A torso and head view of a person or persons,half-length,10200
9602,IPTC Scene,kokokuva,A view from head to toe of a person or persons,full-length,10300
17302,IPTC Scene,profiili,A view of a person from the side,profile,10400
9603,IPTC Scene,selin,A view of a person or persons from the rear,rear view,10500
9604,IPTC Scene,yksin,"A view of only one person, object or animal",single,10600
9605,IPTC Scene,pariskunta,"A view of two people who are in a personal relationship, for example engaged, married or in a romantic partnership",couple,10700
9606,IPTC Scene,kaksin,A view of two people,two,10800
9607,IPTC Scene,ryhmäkuva,A view of more than two people,group,10900
9608,IPTC Scene,yleiskuva,An overall view of the subject and its surroundings,general view,11000
9609,IPTC Scene,panoraama,A panoramic or wide angle view of a subject and its surrounds,panoramic view,11100
9610,IPTC Scene,ilmakuva,A view taken from above,aerial view,11200
9611,IPTC Scene,vedenalainen,A photo taken under water,under water,11300
9612,IPTC Scene,yökuva,A photo taken during darkness,night scene,11400
9613,IPTC Scene,satelliittikuva,A photo taken from a satellite in orbit,satellite,11500
9614,IPTC Scene,ulkokuva,A photo that shows the exterior of a building or other object,exterior view,11600
9615,IPTC Scene,sisäkuva,A scene or view of the interior of a building or other object,interior view,11700
9616,IPTC Scene,lähikuva,"A view of, or part of a person/object taken at close range in order to emphasize detail or accentuate mood. Macro photography.",close-up,11800
9617,IPTC Scene,toiminta,"Subject in motion such as children jumping, horse running.",action,11900
9618,IPTC Scene,esiintyminen,Subject or subjects on a stage performing to an audience,performing,12000
9619,IPTC Scene,poseeraus,"Subject or subjects posing such as a ""victory"" pose or other stance that symbolizes leadership",posing,12100
9620,IPTC Scene,symbolikuva,A posed picture symbolizing an event - two rings for marriage,symbolic,12200
9621,IPTC Scene,hupikuva,"An attractive, perhaps fun picture of everyday events - dog with sunglasses, people cooling off in the fountain",off-beat,12300
9622,IPTC Scene,kohtaus filmistä,Photos taken during the shooting of a movie or TV production,movie scene,12400
